#IRI                                               ,                                                           sha256
http://sweetontology.net/propSpaceDirection        , d3c5c7cdb5933026bb73d59e9165b5d6053cb86f2c2bda7d9abc13ec8a7b52b0
http://sweetontology.net/propSpaceDistance         , 055d881fca013594c06c1e55d007a2b9d9ced981289a45f035e1ea424c29516d
http://sweetontology.net/propSpaceHeight           , 57d35ed1b638e3178f896b70df178924a2b1a373099b6be444c764de8e68391b
http://sweetontology.net/propSpaceLocation         , 92ba5b89bd77209822d60ed9c4863bbce64025310164b5f314f7b1464aa56c82
http://sweetontology.net/propSpaceMultidimensional , 0a949a671f9a1ff37a724ef155fba6ff82a95a5b7388cee0a41a44959b64aed7
http://sweetontology.net/propSpaceThickness        , 5767b53acf0439dff6a6077ae44c911a49e40377529649ea5c5764a7c734b788
http://sweetontology.net/propSpeed                 , cee3898254b4643e859bdb441c5b3425266831691712ec614af69ff27ce79fe5
http://sweetontology.net/propTemperature           , 0b0f110b48dbdc2c6ea211add86fbdbdb321e260f3e74e12325e1a930acdc754
http://sweetontology.net/propTemperatureGradient   , 4bd007e2c762d54ee7762fa74b5d3d004d05956dd85492509848cf0fbcf405b6
http://sweetontology.net/propTime                  , 08cf99078667a76fe04c668ce581de65369311787e4e6deb83864079edbfe15c
http://sweetontology.net/propTimeFrequency         , 175e9bc71a3addcc130e2fd31f946cf7f50bf379f162c40a7f8773bffe391c5b
http://sweetontology.net/realm                     , 4ada23297f56041ad3cb52b047d4ffc83d700ec07ae0eb7b3b748c93a9c6064d
http://sweetontology.net/realmAstroBody            , 17422bd0f67b5e2297f2e78b490d8924399bdd61a347605e964685f63fd40eb2
http://sweetontology.net/realmAstroHelio           , 0d903c33c7d3c4f3710dc275cc8411385e49ddda6467ca9224143b43c0fedb98
http://sweetontology.net/realmAstroStar            , 95fd2dc1ffbca18e30c5391ddc2de791edccc6fd9be20c478b1e63a949c325fd
http://sweetontology.net/realmAtmo                 , 474450cffb64581bb2ae1ef39a26a72fc65932cc0a5f390e7c40eb19818d8717
http://sweetontology.net/realmAtmoBoundaryLayer    , 6ff0c72c918bc0118a0c205b3af168b83f512ea4c6139b99c80ebc8957f77ccd
http://sweetontology.net/realmAtmoWeather          , c14b6be7964e4e655c3d892ec0d52a364a8f93858282e077a1369d8f43a499c5
http://sweetontology.net/realmBiolBiome            , e37b1cc09e6e5a2a0cae0a24b2cf7a1a6ce68ba9dbe1ba9f7ad0c817e3dceed5
http://sweetontology.net/realmClimateZone          , 92a4d10e6d4fe95dfd64cbd8de9748884f2d60d2572343a6fe016a981cc9a3b1
http://sweetontology.net/realmCryo                 , 8e3cfdf3f6c1c7f3d7e2b9e23e9df9fb338b53a67722c602c9d14fdee81fdaee
http://sweetontology.net/realmEarthReference       , f967ea85385eaac8cf64e32b589c09577b1ac31ede6c70d221632f21172d530d
http://sweetontology.net/realmGeol                 , c57b6e4d475f500571a1870e357842ccc6792ba88cbd37983361ec961fe33f22
